Tanggal,Wilayah,Jenis_Perkebunan,Jenis_Proses,Produksi_kg,Harga_per_kg_IDR,Kualitas,Profit,Year,Month,Month_Name,Quarter,Kombinasi
2025-12-10,Sulawesi,Perkebunan Swasta,Roasting,888.09,41341.02,Grade C,36714546.451799996,2025,12,December,4,Sulawesi | Perkebunan Swasta | Roasting
2024-05-15,Bali,Perkebunan Swasta,Roasting,1474.44,31802.06,Grade C,46890229.3464,2024,5,May,2,Bali | Perkebunan Swasta | Roasting
2025-11-17,Sumatera,Perkebunan Swasta,Roasting,586.48,39023.55,Grade C,22886531.604000002,2025,11,November,4,Sumatera | Perkebunan Swasta | Roasting
2025-06-05,Sulawesi,Perkebunan Negara,Fermentasi,1455.99,54599.78,Grade C,79496733.6822,2025,6,June,2,Sulawesi | Perkebunan Negara | Fermentasi
2026-01-24,NTT,Perkebunan Negara,Roasting,421.91,43971.4,Grade A,18551973.374,2026,1,January,1,NTT | Perkebunan Negara | Roasting
2025-08-14,Sumatera,Perkebunan Rakyat,Penggilingan,785.83,50584.0,Grade A,39750424.72,2025,8,August,3,Sumatera | Perkebunan Rakyat | Penggilingan
2024-04-10,Bali,Perkebunan Rakyat,Pengeringan,1680.95,28367.57,Grade C,47684466.7915,2024,4,April,2,Bali | Perkebunan Rakyat | Pengeringan
2024-03-14,Jawa Barat,Perkebunan Rakyat,Pengeringan,252.93,58970.95,Grade C,14915522.3835,2024,3,March,1,Jawa Barat | Perkebunan Rakyat | Pengeringan
2024-05-10,NTT,Perkebunan Swasta,Fermentasi,511.64,32189.31,Grade B,16469338.568400001,2024,5,May,2,NTT | Perkebunan Swasta | Fermentasi
2025-10-04,Bali,Perkebunan Negara,Pengeringan,358.64,41103.87,Grade B,14741491.936800001,2025,10,October,4,Bali | Perkebunan Negara | Pengeringan
2025-03-23,Sumatera,Perkebunan Negara,Pengeringan,1542.9,50929.06,Grade C,78578446.674,2025,3,March,1,Sumatera | Perkebunan Negara | Pengeringan
2024-04-20,NTT,Perkebunan Rakyat,Penggilingan,328.4,54685.44,Grade A,17958698.496,2024,4,April,2,NTT | Perkebunan Rakyat | Penggilingan
2025-03-23,Jawa Timur,Perkebunan Rakyat,Roasting,1361.83,29052.91,Grade B,39565124.425299995,2025,3,March,1,Jawa Timur | Perkebunan Rakyat | Roasting
2025-06-10,Sumatera,Perkebunan Swasta,Pengeringan,520.49,45684.65,Grade C,23778403.4785,2025,6,June,2,Sumatera | Perkebunan Swasta | Pengeringan
2024-06-08,Sumatera,Perkebunan Rakyat,Roasting,903.9,41292.07,Grade B,37323902.073,2024,6,June,2,Sumatera | Perkebunan Rakyat | Roasting
2025-01-26,NTT,Perkebunan Swasta,Roasting,711.07,37025.87,Grade B,26327985.380900003,2025,1,January,1,NTT | Perkebunan Swasta | Roasting
2024-09-07,Jawa Barat,Perkebunan Swasta,Roasting,1477.64,54586.29,Grade B,80658885.5556,2024,9,September,3,Jawa Barat | Perkebunan Swasta | Roasting
2024-05-21,Jawa Barat,Perkebunan Negara,Roasting,1313.29,56899.68,Grade B,74725780.7472,2024,5,May,2,Jawa Barat | Perkebunan Negara | Roasting
2024-03-03,NTT,Perkebunan Negara,Pengeringan,1611.32,34724.63,Grade B,55952490.81159999,2024,3,March,1,NTT | Perkebunan Negara | Pengeringan
2024-12-10,Sulawesi,Perkebunan Rakyat,Penggilingan,351.34,47371.83,Grade C,16643618.7522,2024,12,December,4,Sulawesi | Perkebunan Rakyat | Penggilingan
2025-06-30,Bali,Perkebunan Negara,Fermentasi,235.03,52489.11,Grade C,12336515.5233,2025,6,June,2,Bali | Perkebunan Negara | Fermentasi
